pkg_name                           time      count   
art                                2020-07      39
art                                2020-08      91
art                                2020-09     106
art                                2020-10     175
art                                2020-11      55
art                                2020-12      94
art                                2021-01     153
art                                2021-02     178
art                                2021-03     564
art                                2021-04     579
art                                2021-05     529
art                                2021-06     785
art                                2021-07     658
art                                2021-08     933
art                                2021-09     865
art                                2021-10    1021
art                                2021-11     407
art                                2021-12     500
art                                2022-01     567
art                                2022-02     363
art                                2022-03     478
art                                2022-04     314
art                                2022-05     621
art                                2022-06     667
art                                2022-07     880
art                                2022-08     544
art                                2022-09     833
art                                2022-10     477
art                                2022-11     503
art                                2022-12     380
art                                2023-01     251
art                                2023-02     295
art                                2023-03     322
art                                2023-04     494
art                                2023-05     244
art                                2023-06     373
art                                2023-07     368
art                                2023-08     645
art                                2023-09     308
art                                2023-10     437
art                                2023-11     435
art                                2023-12     296
art                                2024-01     496
art                                2024-02     409
art                                2024-03     334
art                                2024-04     442
art                                2024-05     439
art                                2024-06     821
art                                2024-07     458
art                                2024-08     237
art                                2024-09     157
art                                2024-10     983
art                                2024-11    2218
art                                2024-12    1355
